,text,q
858,901,0
859,929,0
860,518,0
861,256,0
862,530,0
863,524,0
864,242,0
865,295,0
866,281,0
867,297,0
868,283,0
869,1059,1
870,532,0
871,254,0
872,240,0
873,526,0
874,268,0
875,917,1
876,903,0
877,730,0
878,724,0
879,718,0
880,687,0
881,693,0
882,23,0
883,863,0
884,37,0
885,877,0
886,122,0
887,644,0
888,888,0
889,650,0
890,136,1
891,678,0
892,485,0
893,491,0
894,446,0
895,320,0
896,334,0
897,452,0
898,308,0
899,309,0
900,335,0
901,453,0
902,447,0
903,321,1
904,490,0
905,484,0
906,679,0
907,651,0
908,889,0
909,137,1
910,123,0
911,645,0
912,876,0
913,36,0
914,862,0
915,22,0
916,692,0
917,686,0
918,719,0
919,725,0
920,731,0
921,902,1
922,916,0
923,269,0
924,241,0
925,527,0
926,533,0
927,255,0
928,1058,0
929,282,0
930,1064,0
931,296,0
932,1048,0
933,292,0
934,1060,0
935,286,0
936,279,0
937,251,0
938,537,0
939,523,0
940,245,0
941,912,0
942,906,1
943,709,0
944,735,0
945,721,0
946,26,0
947,866,0
948,32,0
949,872,0
950,682,0
951,696,0
952,669,0
953,899,0
954,641,0
955,127,0
956,133,0
957,655,0
958,480,0
959,494,0
960,319,0
961,325,1
962,443,1
963,457,0
964,331,0
965,456,0
966,330,0
967,324,0
968,442,0
969,318,0
970,495,0
971,481,0
972,132,0
973,654,0
974,640,0
975,898,0
976,126,0
977,668,0
978,697,0
979,683,1
980,873,0
981,33,0
982,867,0
983,27,0
984,720,0
985,734,0
986,708,0
987,907,0
988,913,0
989,522,0
990,244,1
991,250,1
992,536,0
993,278,0
994,287,0
995,293,1
996,1061,0
997,1049,0
998,285,0
999,1063,0
1000,291,0
1001,508,0
1002,246,1
1003,520,0
1004,534,0
1005,252,0
1006,905,0
1007,911,0
1008,939,0
1009,722,1
1010,736,0
1011,31,0
1012,871,0
1013,25,0
1014,865,0
1015,695,0
1016,681,0
1017,19,0
1018,859,0
1019,118,0
1020,656,0
1021,130,0
1022,124,0
1023,642,0
1024,497,0
1025,483,0
1026,468,0
1027,332,0
1028,454,0
1029,440,0
1030,326,1
1031,441,1
1032,327,0
1033,333,1
1034,455,0
1035,469,0
1036,482,0
1037,496,0
1038,125,0
1039,643,0
1040,657,0
1041,131,0
1042,119,0
1043,858,0
1044,18,0
1045,680,0
1046,694,0
1047,864,0
1048,24,0
1049,870,0
1050,30,0
1051,737,0
1052,723,0
1053,938,0
1054,910,0
1055,904,0
1056,535,0
1057,253,0
1058,247,0
1059,521,0
1060,509,0
1061,1062,0
1062,290,0
1063,284,0
